i,frame,t_sec,bat_conf,bat_cx,bat_cy,person_count,motion_pix
0,0,0.0,0.0,,,2,0.0
1,5,0.167,0.258,227.0,332.8,2,21.37
2,10,0.333,0.712,217.5,335.8,2,9.52
3,15,0.5,0.134,212.4,348.3,2,20.13
4,20,0.667,0.0,,,2,12.06
5,25,0.833,0.379,232.4,950.3,3,27.75
6,30,1.0,0.838,228.0,973.4,2,11.33
7,35,1.167,0.119,229.2,884.2,3,186.83
8,40,1.333,0.0,,,3,31.87
9,45,1.5,0.0,,,3,173.71
10,50,1.667,0.0,,,3,201.23
11,55,1.833,0.155,515.8,281.8,4,40.36
12,60,2.0,0.188,126.4,1218.4,4,235.84
13,66,2.2,0.0,,,5,89.6
14,71,2.367,0.151,447.1,371.2,5,89.94
15,76,2.533,0.116,535.8,204.0,4,103.78
16,81,2.7,0.0,,,3,744.22
17,86,2.867,0.119,452.1,363.4,2,79.05
18,91,3.033,0.0,,,2,91.77
19,96,3.2,0.815,624.7,62.9,1,613.7
20,101,3.367,0.108,224.4,845.6,1,125.21
21,106,3.533,0.0,,,0,0.0
22,111,3.7,0.0,,,0,0.0
23,116,3.867,0.0,,,0,0.0
24,121,4.033,0.0,,,0,0.0
25,127,4.233,0.0,,,4,0.0
26,132,4.4,0.0,,,5,164.55
27,137,4.567,0.0,,,5,208.16
28,142,4.733,0.0,,,4,47.84
29,147,4.9,0.0,,,4,195.79
30,152,5.067,0.0,,,3,299.43
31,157,5.233,0.0,,,6,217.04
32,162,5.4,0.0,,,2,579.65
33,167,5.567,0.0,,,2,47.57
34,172,5.733,0.312,293.0,497.5,2,37.2
35,177,5.9,0.0,,,0,0.0
36,182,6.067,0.0,,,0,0.0
37,187,6.233,0.0,,,0,0.0
38,193,6.433,0.356,277.1,255.8,4,0.0
39,198,6.6,0.206,659.4,192.3,4,30.03
40,203,6.767,0.199,650.9,179.7,3,31.97
41,208,6.933,0.0,,,3,47.14
42,213,7.1,0.504,649.4,182.8,5,91.02
43,218,7.267,0.0,,,3,165.93
44,223,7.433,0.45,145.8,292.7,3,786.39
45,228,7.6,0.784,108.4,295.7,1,105.03
46,233,7.767,0.0,,,1,104.65
47,238,7.933,0.0,,,2,166.45
48,243,8.1,0.0,,,2,77.67
49,248,8.267,0.0,,,2,66.45
50,254,8.467,0.0,,,0,0.0
51,259,8.633,0.0,,,0,0.0
52,264,8.8,0.0,,,0,0.0
53,269,8.967,0.0,,,0,0.0
54,274,9.133,0.504,618.0,232.1,3,0.0
55,279,9.3,0.857,633.8,221.4,3,32.95
56,284,9.467,0.871,642.3,210.8,3,171.11
57,289,9.633,0.947,656.1,200.2,3,225.64
58,294,9.8,0.863,666.4,188.4,4,179.74
59,299,9.967,0.779,679.0,182.7,3,43.74
60,304,10.133,0.194,695.8,139.3,5,75.43
61,309,10.3,0.0,,,5,96.45
62,314,10.467,0.0,,,5,688.97
63,320,10.667,0.0,,,3,89.74
64,325,10.833,0.0,,,0,0.0
65,330,11.0,0.0,,,0,0.0
66,335,11.167,0.0,,,0,0.0
67,340,11.333,0.0,,,0,0.0
68,345,11.5,0.0,,,0,0.0
69,350,11.667,0.0,,,0,0.0
70,355,11.833,0.0,,,4,0.0
71,360,12.0,0.0,,,4,200.35
72,365,12.167,0.0,,,4,195.42
73,370,12.333,0.0,,,4,53.09
74,375,12.5,0.0,,,4,656.35
75,381,12.7,0.13,414.0,425.6,1,82.0
76,386,12.867,0.18,423.8,423.7,1,80.92
77,391,13.033,0.0,,,1,55.35
78,396,13.2,0.0,,,1,66.15
79,401,13.367,0.0,,,1,112.75
80,406,13.533,0.0,,,1,53.49
81,411,13.7,0.0,,,0,0.0
82,416,13.867,0.0,,,0,0.0
83,421,14.033,0.0,,,0,0.0
84,426,14.2,0.0,,,0,0.0
85,431,14.367,0.0,,,0,0.0
86,436,14.533,0.0,,,0,0.0
87,441,14.7,0.0,,,0,0.0
88,447,14.9,0.0,,,0,0.0
89,452,15.067,0.0,,,0,0.0
90,457,15.233,0.204,536.7,886.5,3,0.0
91,462,15.4,0.0,,,4,30.62
92,467,15.567,0.0,,,3,292.62
93,472,15.733,0.0,,,5,458.11
94,477,15.9,0.27,339.0,395.5,4,128.11
95,482,16.067,0.153,338.1,422.6,4,459.36
96,487,16.233,0.0,,,1,394.21
97,492,16.4,0.0,,,0,0.0
98,497,16.567,0.0,,,0,0.0
99,502,16.733,0.0,,,0,0.0
100,508,16.933,0.0,,,0,0.0
